city,category,sum(review_count)
Cleveland,Distilleries,43
Cleveland,Musical Instruments & Teachers,13
Cleveland,Casinos,216
Cleveland,American (New),15051
Cleveland,Gluten-Free,464
Cleveland,Veterinarians,180
Cleveland,Churches,16
Cleveland,Property Management,12
Cleveland,Truck Rental,48
Cleveland,Videographers,5
Cleveland,Vegetarian,1304
Cleveland,Tours,156
Cleveland,Medical Spas,22
Cleveland,Bowling,328
Cleveland,Flight Instruction,3
Cleveland,Glass & Mirrors,10
Cleveland,Windows Installation,21
Cleveland,Home Theatre Installation,3
Cleveland,Bus Tours,3
Cleveland,Electronics,45
Cleveland,Dumpster Rental,10
Cleveland,Traditional Clothing,5
Cleveland,Notaries,4
Cleveland,Blow Dry/Out Services,23
Cleveland,Vitamins & Supplements,3
Cleveland,Boating,58
Cleveland,Self Storage,53
Cleveland,Antiques,134
Cleveland,Baseball Fields,197
Cleveland,Screen Printing,5
Cleveland,Auto Upholstery,7
Cleveland,Internal Medicine,53
Cleveland,Wedding Planning,88
Cleveland,Historical Tours,22
Cleveland,Pubs,4188
Cleveland,Taiwanese,163
Cleveland,Air Duct Cleaning,18
Cleveland,Car Stereo Installation,33
Cleveland,Dance Clubs,361
Cleveland,Customized Merchandise,3
Cleveland,Dance Studios,22
Cleveland,Police Departments,8
Cleveland,Moroccan,9
Cleveland,Wholesale Stores,76
Cleveland,Japanese,1771
Cleveland,Keys & Locksmiths,40
Cleveland,Bubble Tea,187
Cleveland,Steakhouses,1562
Cleveland,Furniture Repair,10
Cleveland,Halal,285
Cleveland,Baby Gear & Furniture,3
Cleveland,Event Photography,14
Cleveland,Office Cleaning,33
Cleveland,Rugs,5
Cleveland,Market Stalls,658
Cleveland,Post Offices,39
Cleveland,Hobby Shops,57
Cleveland,Children's Clothing,71
Cleveland,Nail Salons,489
Cleveland,Rafting/Kayaking,25
Cleveland,Flowers,5
Cleveland,Home Decor,113
Cleveland,Boot Camps,13
Cleveland,Comic Books,38
Cleveland,Health Markets,114
Cleveland,Ticket Sales,6
Cleveland,Immigration Law,3
Cleveland,Macarons,4
Cleveland,Golf Equipment Shops,3
Cleveland,Art Space Rentals,3
