category,city,stars
Restaurants,Bratenahl,4.25
Restaurants,Emsworth,4.25
Restaurants,Rosemere,4.25
Restaurants,Joliette,4.25
Restaurants,Candiac,4.25
Restaurants,East Mc Keesport,4.25
Restaurants,Shaler Township,4.25
Restaurants,Homer,4.25
Restaurants,Beeton,4.25
Restaurants,Paoli,4.25
Restaurants,Saint-Bruno-de-Montarville,4.25
Restaurants,North Randall,4.25
Restaurants,Denkendorf,4.25
Restaurants,Sheffield,4.25
Restaurants,Kirtland,4.214285714285714
Restaurants,Belleville,4.214285714285714
Restaurants,Richmond Heights,4.2
Restaurants,Springdale,4.1875
Restaurants,Queensferry,4.166666666666667
Restaurants,Sharpsburg,4.166666666666667
Restaurants,Arnold,4.166666666666667
Restaurants,Bainbridge,4.166666666666667
Restaurants,Guadalupe,4.166666666666667
Restaurants,Saint-Lambert,4.153846153846154
Restaurants,Fairview,4.15
Restaurants,DeForest,4.142857142857143
Restaurants,Cramerton,4.125
Restaurants,Schomberg,4.125
Restaurants,Schwieberdingen,4.125
Restaurants,Salaberry-De-Valleyfield,4.125
Restaurants,Ambridge,4.117647058823529
Restaurants,Midland,4.1
Restaurants,Schönaich,4.083333333333333
Restaurants,McFarland,4.071428571428571
Restaurants,Saint-Jean-sur-Richelieu,4.0625
Restaurants,Morin-Heights,4.0
Restaurants,Fabreville,4.0
Restaurants,Black Earth,4.0
Restaurants,McAdenville,4.0
Restaurants,Saint-Marc-sur-Richelieu,4.0
Restaurants,Tremont,4.0
Restaurants,Kennedy Township,4.0
Restaurants,Pincourt,4.0
Restaurants,Plieningen,4.0
Restaurants,Mentor On the,4.0
Restaurants,Ben Avon,4.0
Restaurants,Sainte-Anne-De-Bellevue,4.0
Restaurants,Sainte-Thérèse,4.0
Restaurants,Vimont,4.0
Restaurants,Bonnyrigg and Lasswade,4.0
Restaurants,Glassport,4.0
Restaurants,Remseck am Neckar,4.0
Restaurants,Rawdon,4.0
Restaurants,Indianola,4.0
Restaurants,Prestonpans,4.0
Restaurants,Summerlin,4.0
Restaurants,Squirrel Hill,4.0
Restaurants,Villa Grove,4.0
Restaurants,St-Benoît de Mirabel,4.0
Restaurants,Chatauguay,4.0
Restaurants,Portobello,4.0
Restaurants,Möglingen,4.0
Restaurants,Bruntsfield,4.0
Restaurants,Tottenham,4.0
Restaurants,East McKeesport,4.0
Restaurants,Bernhausen,4.0
Restaurants,Carnot-Moon,4.0
Restaurants,Bellvue,4.0
Restaurants,Green Valley,4.0
Restaurants,Repentigny,4.0
Restaurants,Lachute,4.0
Restaurants,La Salle,4.0
