category,stars
Beaches,4.0
Hair Extensions,4.0
Knife Sharpening,4.0
Ethnic Food,4.0
Countertop Installation,4.0
Children's Museums,4.0
Radio Stations,4.0
Modern European,4.0
Supper Clubs,4.0
Water Delivery,4.0
Vinyl Siding,4.0
Sri Lankan,4.0
Zoos,4.0
Bistros,4.0
Departments of Motor Vehicles,4.0
Mini Golf,4.0
Leisure Centers,4.0
Party Equipment Rentals,4.0
Brewing Supplies,4.0
Wholesalers,4.0
Water Purification Services,4.0
Golf Lessons,4.0
Carpenters,4.0
Rafting/Kayaking,4.0
Smokehouse,4.0
Lebanese,4.0
Imported Food,4.0
Persian/Iranian,4.0
Comedy Clubs,4.0
Farms,4.0
Cards & Stationery,4.0
Jazz & Blues,4.0
Parenting Classes,4.0
Laotian,4.0
Campgrounds,4.0
Tours,4.0
Pasta Shops,4.0
Country Clubs,4.0
Attraction Farms,4.0
Nutritionists,4.0
Pet Training,4.0
Ethnic Grocery,4.0
Libraries,4.0
Popcorn Shops,4.0
Livestock Feed & Supply,4.0
Playgrounds,4.0
Drywall Installation & Repair,4.0
